field_key,NVDA,MU,SNDK,AVGO,MRVL,GOOGL,MSFT,META,AMZN,TSLA,CEG,BE,AAOI,IREN,CRWV,LITE,PLTR,INTC
revenue,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
cost_of_revenue,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y
gross_profit,Y,Y,Y,Y,Y,-,Y,-,Y,Y,-,Y,Y,-,-,Y,Y,Y
research_development_expense,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,Y,-,Y,Y,Y,Y
sga_expense,Y,Y,Y,Y,Y,-,-,-,-,Y,-,-,-,Y,-,Y,-,Y
sales_marketing_expense,-,-,-,-,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,-,Y,-
general_administrative_expense,-,-,-,-,-,Y,Y,Y,Y,-,-,Y,Y,-,Y,-,Y,-
total_operating_expenses,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y
stock_based_compensation,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
operating_income,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
interest_expense,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
interest_investment_income,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y
other_nonoperating_income_expense,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
pretax_income,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
income_tax_expense,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
net_income,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
net_income_available_common,-,Y,-,Y,Y,Y,-,Y,-,Y,-,Y,Y,Y,Y,Y,Y,-
eps_basic,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
eps_diluted,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
dividends_per_share,Y,Y,-,Y,Y,Y,Y,Y,-,-,Y,-,-,Y,Y,-,-,Y
weighted_avg_shares_basic,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
weighted_avg_shares_diluted,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
shares_outstanding,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
remaining_performance_obligation,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,-,-,Y,Y,Y,Y,Y
cash_and_cash_equivalents,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
short_term_investments,Y,Y,-,-,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y
long_term_investments,-,-,-,-,-,Y,Y,-,-,-,Y,Y,-,Y,-,-,-,-
accounts_receivable_net,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
inventory_net,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,-,Y,-,Y
total_current_assets,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
property_plant_equipment_net,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
goodwill,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y
intangible_assets_net,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y
total_assets,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
accounts_payable,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
total_current_liabilities,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
short_term_debt,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,-,Y
commercial_paper,Y,-,-,Y,-,Y,Y,-,-,-,Y,-,-,-,-,-,-,Y
long_term_debt,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y
deferred_revenue_current,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y
deferred_revenue_noncurrent,Y,-,Y,Y,-,Y,Y,-,Y,Y,-,-,Y,Y,Y,Y,Y,Y
total_liabilities,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-
total_stockholders_equity,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
net_cash_from_operating_activities,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
capital_expenditures,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
net_cash_from_investing_activities,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
net_cash_from_financing_activities,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
