ticker,cusip,rank,manager,entities,shares,value_usd,value_$m,pct_of_13f_value,prev_shares,delta_shares,delta_%,status
NVDA,67066G104,1,Vanguard,10,2296779059,400754258467,400754,15.05,2270376945,26402114,1.2,increased
NVDA,67066G104,2,BlackRock,1,1925533174,335812985602,335813,12.61,1943812884,-18279710,-0.9,decreased
NVDA,67066G104,3,State Street,1,993885601,173343323230,173343,6.51,991480489,2405112,0.2,increased
NVDA,67066G104,4,Fidelity (FMR),2,993855056,173328321737,173328,6.51,971065357,22789699,2.3,increased
NVDA,67066G104,5,Geode,1,601327167,104562529968,104563,3.93,588803093,12524074,2.1,increased
NVDA,67066G104,6,Capital Group,10,425812741,74251362687,74251,2.79,410372266,15440475,3.8,increased
NVDA,67066G104,7,Morgan Stanley,2,342960371,59812289235,59812,2.25,323776224,19184147,5.9,increased
NVDA,67066G104,8,UBS,2,282147463,49206517496,49207,1.85,273466571,8680892,3.2,increased
NVDA,67066G104,9,Northern Trust,1,252741836,44078176199,44078,1.66,253789803,-1047967,-0.4,decreased
NVDA,67066G104,10,Bank of America,2,191248233,33353691973,33354,1.25,187225945,4022288,2.1,increased
NVDA,67066G104,11,Goldman Sachs,1,180908765,31550488745,31550,1.19,166656211,14252554,8.6,increased
NVDA,67066G104,12,Legal & General,1,169227527,29513280714,29513,1.11,171472969,-2245442,-1.3,decreased
NVDA,67066G104,13,Charles Schwab,2,160929501,28066103303,28066,1.05,156122108,4807393,3.1,increased
NVDA,67066G104,14,BNY Mellon,1,153763594,26816370721,26816,1.01,157885163,-4121569,-2.6,decreased
NVDA,67066G104,15,Invesco,1,142760706,24897467149,24897,0.94,143278931,-518225,-0.4,decreased
NVDA,67066G104,16,"Nuveen, LLC",1,140183243,24447957580,24448,0.92,135827760,4355483,3.2,increased
NVDA,67066G104,17,Deutsche Bank,3,141770696,24286533552,24287,0.91,142691997,-921301,-0.6,decreased
NVDA,67066G104,18,WELLINGTON MANAGEMENT,1,133855881,23344465647,23344,0.88,140706711,-6850830,-4.9,decreased
NVDA,67066G104,19,Amundi,1,133768018,23329141431,23329,0.88,121192841,12575177,10.4,increased
NVDA,67066G104,20,HSBC HOLDINGS,1,127607532,23058576633,23059,0.87,0,127607532,,NEW
NVDA,67066G104,21,AllianceBernstein,1,98528485,18375562453,18376,0.69,101114538,-2586053,-2.6,decreased
NVDA,67066G104,22,Franklin,1,96549380,16838206330,16838,0.63,96838992,-289612,-0.3,decreased
NVDA,67066G104,23,Dimensional,1,94521253,16479126200,16479,0.62,93966032,555221,0.6,increased
NVDA,67066G104,24,ROYAL BANK,1,93002851,16219697000,16220,0.61,102417256,-9414405,-9.2,decreased
NVDA,67066G104,25,Ameriprise,1,92071703,16060690441,16061,0.6,94179262,-2107559,-2.2,decreased
MU,595112103,1,Vanguard,10,107644920,36366759841,36367,13.39,106780930,863990,0.8,increased
MU,595112103,2,BlackRock,1,103147586,34847380573,34847,12.83,100701543,2446043,2.4,increased
MU,595112103,3,Capital Group,8,55698556,18813954751,18814,6.93,88626140,-32927584,-37.2,decreased
MU,595112103,4,State Street,1,52239483,17656292509,17656,6.5,52749817,-510334,-1.0,decreased
MU,595112103,5,Fidelity (FMR),1,32054565,10829313960,10829,3.99,39596338,-7541773,-19.0,decreased
MU,595112103,6,Geode,1,27432757,9239026337,9239,3.4,25997769,1434988,5.5,increased
MU,595112103,7,PRIMECAP MANAGEMENT,1,21874204,7389981079,7390,2.72,24794936,-2920732,-11.8,decreased
MU,595112103,8,Morgan Stanley,2,16845768,5691175843,5691,2.1,16396655,449113,2.7,increased
MU,595112103,9,UBS,2,15643733,5285078759,5285,1.95,17241241,-1597508,-9.3,decreased
MU,595112103,10,Goldman Sachs,1,12561670,4243834583,4244,1.56,8921504,3640166,40.8,increased
MU,595112103,11,Invesco,1,12060685,4074581787,4075,1.5,9777239,2283446,23.4,increased
MU,595112103,12,Northern Trust,1,10399487,3513362688,3513,1.29,10654349,-254862,-2.4,decreased
MU,595112103,13,Employees Provident,1,28265488,3169053612,3169,1.17,0,28265488,,NEW
MU,595112103,14,HSBC HOLDINGS,1,9002340,2827576703,2828,1.04,0,9002340,,NEW
MU,595112103,15,Bank of America,2,8044560,2717774223,2718,1.0,8499863,-455303,-5.4,decreased
MU,595112103,16,Barclays,1,7774892,2626669517,2627,0.97,8676488,-901596,-10.4,decreased
MU,595112103,17,BNY Mellon,1,7441161,2513921793,2514,0.93,8055103,-613942,-7.6,decreased
MU,595112103,18,Legal & General,1,7365733,2488439243,2488,0.92,7200153,165580,2.3,increased
