ticker,cusip,num_holders,total_shares,total_value_usd,total_value_$m,prev_num_holders,qoq_shares_chg,qoq_shares_chg_%
NVDA,67066G104,5579,16000428744,2662396027936,2662396,5469,-557151812,-3.4
MU,595112103,2892,869562028,271595860913,271596,2548,-20795268,-2.3
SNDK,80004C200,1138,112474929,68248579039,68249,690,-7980300,-6.6
AVGO,11135F101,4464,3553464464,1044202560164,1044203,4404,-111912009,-3.1
MRVL,573874104,1494,725904790,68396648144,68397,1380,35270767,5.1
GOOGL,02079K305,5381,4538507709,1239735216918,1239735,5345,-52114542,-1.1
MSFT,594918104,5903,5504517345,1889048577911,1889049,5890,-41040105,-0.7
META,30303M102,4873,1745419252,887770888707,887771,4849,259615,0.0
AMZN,023135106,5729,6935170630,1367530197305,1367530,5692,-183041649,-2.6
TSLA,88160R101,4019,1547449318,556244991698,556245,4080,-82711040,-5.1
CEG,21037T109,1833,280345708,75380084834,75380,1912,23004364,8.9
BE,093712107,948,242253589,31451541019,31452,763,8893810,3.8
AAOI,03823U102,363,51987416,4134254569,4134,216,4395532,9.2
IREN,Q4982L109,484,164310063,5547550302,5548,385,23306054,16.5
CRWV,21873S108,760,322550103,23768493137,23768,691,66733546,26.1
NOK,654902204,607,1070256786,8304098593,8304,534,111710306,11.7
LITE,55024U109,1043,74501874,50294883489,50295,720,-5460470,-6.8
