side,cusip,issuer,holders,holders_chg,shares,value_$m,implied_price,delta_shares,net_flow_$m,shares_chg_%,flag
BOUGHT,F92124100,TotalEnergies SE,1014,220,944632851,83667,88.57,214376141,18988,29.4,
BOUGHT,36828A101,GE VERNOVA INC,3194,371,233976642,168116,718.52,21935112,15761,10.3,
BOUGHT,369604301,GE AEROSPACE,3330,85,891113822,218814,245.55,51387358,12618,6.1,
BOUGHT,478160104,JOHNSON & JOHNSON,4931,330,1852405034,411640,222.22,51900511,11533,2.9,
BOUGHT,46625H100,JPMORGAN CHASE & CO.,5437,208,2069717197,560516,270.82,40303877,10915,2.0,
BOUGHT,697435105,PALO ALTO NETWORKS INC,2602,31,629738434,98956,157.14,68252571,10725,12.2,
BOUGHT,941848103,WATERS CORP,1211,363,93180225,26302,282.27,35443438,10005,61.4,
BOUGHT,03769M106,APOLLO GLOBAL MGMT INC,1179,-45,448979495,50701,112.92,70466676,7957,18.6,
BOUGHT,038222105,APPLIED MATLS INC,3099,406,674531934,207314,307.34,24886492,7649,3.8,
BOUGHT,458140100,INTEL CORP,2807,291,3397591302,141262,41.58,170979302,7109,5.3,
BOUGHT,136385101,CANADIAN NAT RES LTD,791,94,1594815815,75134,47.11,148131326,6979,10.2,
BOUGHT,46137V357,INVESCO EXCHANGE TRADED FD T,2332,205,305345700,56697,185.68,35341767,6562,13.1,
BOUGHT,316773100,FIFTH THIRD BANCORP,1267,99,772259168,33145,42.92,148031123,6354,23.7,
BOUGHT,17275R102,CISCO SYS INC,3967,176,3190443993,229300,71.87,87729110,6305,2.8,
BOUGHT,21037T109,CONSTELLATION ENERGY CORP,1959,-94,280345708,75380,268.88,23004364,6185,8.9,
BOUGHT,713448108,PEPSICO INC,3802,179,1083445117,153180,141.38,36787104,5201,3.5,
BOUGHT,21873S108,COREWEAVE INC,796,81,322550103,23768,73.69,66733546,4918,26.1,
BOUGHT,446150104,HUNTINGTON BANCSHARES INC,1193,56,1727426926,25784,14.93,278864268,4162,19.3,
BOUGHT,075887109,BECTON DICKINSON & CO,1518,-100,301754486,38960,129.11,31876820,4116,11.8,
BOUGHT,806857108,SCHLUMBERGER LTD,1808,177,1364107113,65570,48.07,85453600,4108,6.7,
BOUGHT,192108504,COEUR MNG INC,684,162,764653265,12441,16.27,245259749,3991,47.2,
BOUGHT,717081103,PFIZER INC,3156,128,3925587351,106832,27.21,135674550,3692,3.6,
BOUGHT,747525103,QUALCOMM INC,2901,-168,862194254,103159,119.65,30810560,3686,3.7,
BOUGHT,92537N108,VERTIV HOLDINGS CO,1891,260,314838369,74528,236.72,15320199,3627,5.1,
BOUGHT,860630102,STIFEL FINL CORP,658,22,138004485,10075,73.01,47995094,3504,53.3,
BOUGHT,78454L100,SM ENERGY CO,534,176,223562313,6887,30.81,111635700,3439,99.7,
BOUGHT,594972408,STRATEGY INC,990,-12,195919529,24840,126.79,27110320,3437,16.1,
BOUGHT,573874104,MARVELL TECHNOLOGY INC,1634,164,725904790,68397,94.22,35270767,3323,5.1,
BOUGHT,867224107,SUNCOR ENERGY INC NEW,815,120,857245324,54250,63.28,52154389,3301,6.5,
BOUGHT,674599105,OCCIDENTAL PETE CORP,1414,213,814784330,52461,64.39,50572453,3256,6.6,
