ticker,fiscal_year,revenue_$m,gross_profit_$m,operating_income_$m,net_income_$m,research_development_expense_$m,net_cash_from_operating_activities_$m,free_cash_flow_$m,cash_and_cash_equivalents_$m,total_debt_$m,gross_margin_%,operating_margin_%,net_margin_%,fcf_margin_%,rd_intensity_%,roe_%,roic_%,revenue_yoy_growth_%
NVDA,2026,215938,153463,130387,120067,18497,102718,96676,10605,8468,71.1,60.4,55.6,44.8,8.6,76.3,71.3,65.5
MU,2025,37378,14873,9770,8539,3798,17525,1668,9642,12093,39.8,26.1,22.8,4.5,10.2,15.8,15.2,48.9
SNDK,2025,7355,2212,-1377,-1641,1132,84,-120,1481,1849,30.1,-18.7,-22.3,-1.6,15.4,-17.8,-15.9,10.4
AVGO,2025,63887,43294,25484,23126,10977,27537,26914,16178,65136,67.8,39.9,36.2,42.1,17.2,28.4,19.9,23.9
MRVL,2026,8195,4181,1323,2670,2075,1750,1396,2639,4471,51.0,16.1,32.6,17.0,25.3,18.7,7.2,42.1
GOOGL,2025,402836,,129039,132170,61087,164713,73266,30708,48543,59.7,32.0,32.8,18.2,15.2,31.8,24.8,15.1
MSFT,2025,281724,193893,128528,101832,32488,136162,71611,30242,43151,68.8,45.6,36.1,25.4,11.5,29.6,29.7,14.9
META,2025,200966,,83276,60458,57372,115800,46109,35873,58744,82.0,41.4,30.1,22.9,28.5,27.8,24.4,22.2
AMZN,2026,,,,90798,,148531,-2472,,,,,,,,,,
TSLA,2025,94827,17094,4355,3794,6411,14747,6220,16513,8153,18.0,4.6,4.0,6.6,6.8,4.6,4.3,-2.9
CEG,2025,22663,,3086,2319,,4237,1288,3641,7342,,13.6,10.2,5.7,,16.0,11.2,19.5
BE,2025,2002,587,73,-87,186,114,57,2454,2618,29.3,3.6,-4.4,2.9,9.3,-11.3,8.1,38.9
AAOI,2025,456,137,-55,-38,86,-174,-354,206,34,30.0,-12.0,-8.4,-77.6,18.8,-5.2,-8.0,82.8
IREN,2025,501,,17,87,,246,-328,565,,68.3,3.5,17.4,-65.4,,4.8,,167.7
CRWV,2025,5131,,-46,-1167,352,3058,-7251,3127,21373,71.7,-0.9,-22.7,-141.3,6.9,-35.0,-0.2,167.9
LITE,2025,1645,460,-180,26,304,126,-105,521,2573,28.0,-10.9,1.6,-6.4,18.5,2.3,,21.0
