ticker,as_of,price,market_cap,enterprise_value,pe_ttm,ps_ttm,pb,ev_ebitda,ev_sales,fcf_yield_pct,earnings_yield_pct,dividend_yield_pct,ttm_net_income,ttm_net_income_basis,ttm_revenue,ttm_ebitda,ttm_fcf,total_debt,net_cash,analyst_count,recommendation,rec_mean,rec_strong_buy,rec_buy,rec_hold,rec_sell,rec_strong_sell,target_mean,target_high,target_low,target_upside_pct,fwd_eps_cy,fwd_eps_cy_growth_pct,fwd_eps_ny,fwd_eps_ny_growth_pct,fwd_pe_consensus,yf_trailing_pe,yf_forward_pe,yf_price_to_book,yf_ev_ebitda,yf_dividend_yield_pct
NVDA,2026-08-05T05:17:45+00:00,211.94,5133398704128,5079509704128,32.1615326077951,20.250812471164657,26.261286432609964,30.843416323862844,20.03822504202516,1.8,3.11,0.02,159613000000,ttm_4q,253491000000,164687000000,92413000000,8470000000,53889000000,58,strong_buy,1.29508,10,48,2,1,0,302.82758,500.0,180.0,42.9,8.99574,88.6,12.89043,43.3,23.56004064145918,31.632837,16.441654,26.262703,30.743,0.48
MU,2026-08-05T05:17:48+00:00,892.67,1008175349760,1004409349760,41.81391687445564,17.346742885459143,13.913735350474061,27.36735646876107,17.281944798774926,0.11,2.39,0.05,24111000000,ttm_4q,58119000000,36701000000,1159000000,10142000000,3766000000,43,strong_buy,1.41304,9,32,5,0,0,1507.7906,2200.0,361.0,68.9,73.43364,785.8,155.56306,111.8,12.156145330668615,18.761454,5.7383156,10.005829,14.49,0.06
SNDK,2026-08-05T05:17:48+00:00,1427.62,211415908352,207680908352,46.90834443132904,16.035794019417477,15.345569307686723,37.53495542237484,15.752496082524273,-0.06,2.13,,4507000000,ttm_4q,13184000000,5533000000,-120000000,0,3735000000,22,buy,1.6087,3,15,4,0,1,2217.7727,3169.0,1000.0,55.3,66.09682,2110.6,212.94582,222.2,21.59892109786825,44.04875,6.704147,15.336242,36.956,
AVGO,2026-08-05T05:17:50+00:00,418.16,1989429821440,2041312821440,79.66641924715681,29.13549429483612,24.90772512820513,72.01668094690422,29.895328511760052,1.14,1.26,0.58,24972000000,ttm_4q,68282000000,28345000000,22649000000,66057000000,-51883000000,45,strong_buy,1.3125,7,37,4,0,0,527.88446,675.0,215.88,26.2,11.62543,70.5,19.49196,67.7,35.96942220631839,65.3375,21.452948,22.689095,48.349,0.66
MRVL,2026-08-05T05:17:50+00:00,218.59,196194238464,197311938464,77.64841036292397,22.50682434112262,10.770552952052613,122.2957347613735,22.635043588349337,0.53,1.29,0.11,2526700000,ttm_4q,8717100000,1613400000,1038800000,4961300000,-1117700000,40,strong_buy,1.4186,8,30,5,0,0,256.9142,400.0,126.0,17.5,4.04907,42.6,6.24094,54.1,53.98523611594761,75.11684,35.025173,10.507113,63.034,0.13
GOOGL,2026-08-05T05:17:51+00:00,377.65,4618634919936,4571293919936,28.82899056186957,10.931732031716127,9.647359810705469,29.464465212999368,10.819681797158804,1.37,3.47,0.22,160208000000,ttm_4q,422498000000,155146000000,63125000000,79499000000,47341000000,55,strong_buy,1.39062,13,45,6,0,0,428.04056,515.0,340.0,13.3,20.5849,90.4,14.76976,-28.2,18.345972047471687,18.939318,25.630444,7.420033,25.781,0.25
MSFT,2026-08-05T05:17:52+00:00,492.81,3659383177216,3621373177216,29.224565368770765,11.497623666525278,8.831261121701294,20.20212977577445,11.37819789054051,1.99,3.42,0.72,125216000000,ttm_4q,318273000000,179257000000,72916000000,40262000000,38010000000,53,strong_buy,1.35714,14,39,3,0,0,562.72644,870.0,400.0,14.2,19.67315,13.9,23.46875,19.3,25.049877625088,27.167034,20.998562,8.273483,18.911,0.78
META,2026-08-05T05:17:53+00:00,587.94,1497780846592,1475348846592,21.21893332471985,6.967621621358094,6.146481861909628,13.497171722033155,6.8632687792410785,2.96,4.71,0.36,70587000000,ttm_4q,214963000000,109308000000,44316000000,58748000000,22432000000,57,strong_buy,1.35484,8,47,7,0,0,759.40564,1000.0,580.0,29.2,31.89232,35.8,34.02634,6.7,18.43515931108179,22.136295,16.846989,6.1235456,13.914,0.38
AMZN,2026-08-05T05:17:53+00:00,277.42,2992339156992,2971156156992,32.95600296253222,4.028588911047207,6.771315588535326,19.062858296764425,4.000070219005461,-0.08,3.03,,90798000000,ttm_4q,742776000000,155861000000,-2472000000,121906000000,21183000000,61,strong_buy,1.35484,16,43,3,0,0,323.29083,400.0,207.0,16.5,12.11175,68.9,10.40721,-14.1,22.9050302392305,22.300646,26.888481,5.4230204,18.898,
TSLA,2026-08-05T05:17:54+00:00,327.35,1292884377600,1257160377600,334.77068296219574,13.209006810449637,15.370255095344524,124.2621703667095,12.844025558087026,0.0,0.3,,3862000000,ttm_4q,97879000000,10117000000,18000000,9019000000,35724000000,40,buy,2.3617,6,17,18,4,2,397.87274,600.0,125.0,21.5,1.79031,7.8,2.21923,24.0,182.84542900391554,300.3211,147.50612,14.613188,115.787,
CEG,2026-08-05T05:17:55+00:00,267.25,95435513856,111999513856,25.174232090741228,3.960308484355548,2.8502677136457306,13.8134575550074,4.647668431239107,-4.82,3.97,0.16,3791000000,ttm_4q,24098000000,8108000000,-4604000000,17364000000,-16564000000,21,buy,1.52174,6,14,3,0,0,351.90857,441.0,296.0,31.7,11.70506,24.6,13.32674,13.9,22.832005987154275,23.198784,20.053667,2.8922222,15.182,0.65
BE,2026-08-05T05:17:56+00:00,228.11,67184635904,67295837904,6742.0608032112395,27.662193687048457,72.91035933276106,305.89712449828403,27.7079793227224,-0.87,0.01,,9965000,ttm_4q,2428753000,219995000,-587498000,2602635000,-111202000,26,buy,2.24138,5,10,12,1,1,273.5077,390.0,97.0,19.9,2.72011,257.9,4.89574,80.0,83.86057916775425,285.13748,46.59357,41.512283,160.848,
AAOI,2026-08-05T05:17:57+00:00,131.63,10562356224,10163876224,-243.72605911807463,20.83304975147929,9.550465322183964,-370.18779953379953,20.04709314398422,-2.53,-0.41,,-43337000,ttm_4q,507000000,-27456000,-267089000,41225000,398480000,5,buy,2.33333,2,1,3,0,0,150.3,220.0,57.5,14.2,0.88833,441.7,4.772,437.2,148.17691623608343,,27.583824,9.398787,-316.298,
