ticker,fiscal_year,fiscal_period,revenue,cost_of_revenue,gross_profit,research_development_expense,sga_expense,sales_marketing_expense,general_administrative_expense,total_operating_expenses,stock_based_compensation,operating_income,interest_expense,interest_investment_income,other_nonoperating_income_expense,pretax_income,income_tax_expense,net_income,net_income_available_common,eps_basic,eps_diluted,dividends_per_share,weighted_avg_shares_basic,weighted_avg_shares_diluted,shares_outstanding,remaining_performance_obligation,cash_and_cash_equivalents,short_term_investments,long_term_investments,accounts_receivable_net,inventory_net,total_current_assets,property_plant_equipment_net,goodwill,intangible_assets_net,total_assets,accounts_payable,total_current_liabilities,short_term_debt,commercial_paper,long_term_debt,deferred_revenue_current,deferred_revenue_noncurrent,total_liabilities,total_stockholders_equity,net_cash_from_operating_activities,capital_expenditures,net_cash_from_investing_activities,net_cash_from_financing_activities,share_repurchases,depreciation_and_amortization,dividends_paid,acquisitions_net_of_cash,debt_issued,debt_repaid,gross_profit_derived,gross_margin,operating_margin,net_margin,effective_tax_rate,rd_intensity,sbc_pct_revenue,capex_intensity,free_cash_flow,fcf_margin,net_working_capital,total_debt,net_debt,tangible_book_value,book_value_per_share,inventory_days,days_sales_outstanding,roe,roa,roic,revenue_yoy_growth,eps_yoy_growth,diluted_share_count_change,deferred_revenue_total,segment_revenue_mix_pct
NVDA,2024,FY,60922000000,16621000000,44301000000,8675000000,2654000000,,,11329000000,3549000000,32972000000,257000000,866000000,846000000,33818000000,4058000000,29760000000,,12.05,11.93,0.16,2469000000,2494000000,,1100000000,7280000000,18704000000,,9999000000,5282000000,44345000000,3914000000,4430000000,1112000000,65728000000,2699000000,10631000000,1250000000,0,8459000000,764000000,573000000,22750000000,42978000000,28090000000,1069000000,-10566000000,-13633000000,9533000000,1508000000,395000000,83000000,,1250000000,44301000000,0.7271757329043695,0.5412166376678376,0.4884934834706674,0.1199952687917677,0.14239519385443683,0.05825481763566528,0.017547027346442992,27021000000,0.4435343554052723,33714000000,9709000000,-16275000000,37436000000,,115.99362252572048,59.906683956534586,0.6924472986178976,0.4527750730282376,0.6390097561476829,,,,1337000000,
NVDA,2025,FY,130497000000,32639000000,97858000000,12914000000,3491000000,,,16405000000,4737000000,81453000000,247000000,1786000000,2573000000,84026000000,11146000000,72880000000,,2.97,2.94,0.034,24555000000,24804000000,,1700000000,8589000000,34621000000,,23065000000,10080000000,80126000000,6283000000,5188000000,807000000,111601000000,6310000000,18047000000,0,0,8463000000,837000000,976000000,32274000000,79327000000,64089000000,3236000000,-20421000000,-42359000000,33706000000,1864000000,834000000,1007000000,,1250000000,97858000000,0.7498869705816992,0.6241752683969747,0.5584802715771244,0.13264941803727417,0.0989601293516326,0.03629968505023104,0.024797504923484832,60853000000,0.46631723334636044,62079000000,8463000000,-34747000000,73332000000,,112.72404179049603,64.51278573453796,0.9187288060811577,0.6530407433625147,0.8920128148964017,1.1420340763599357,-0.7535624476110646,8.945469125902164,1813000000,
NVDA,2026,FY,215938000000,62475000000,153463000000,18497000000,4579000000,,,23076000000,6386000000,130387000000,259000000,2300000000,11063000000,141450000000,21383000000,120067000000,,4.93,4.9,0.04,24359000000,24514000000,,2300000000,10605000000,,,38466000000,21403000000,125605000000,10383000000,20832000000,3306000000,206803000000,9812000000,32163000000,999000000,,7469000000,1379000000,1193000000,49510000000,157293000000,102718000000,6042000000,-52228000000,-48474000000,40086000000,2843000000,974000000,1535000000,,0,153463000000,0.7106808435754708,0.6038168363141272,0.5560253406070261,0.1511700247437257,0.08565884652076058,0.029573303448211987,0.027980253591308617,96676000000,0.44770258129648327,93442000000,8468000000,-2137000000,133155000000,,125.043537414966,65.01907955061175,0.7633333969089534,0.5805863551302447,0.7133233260959281,0.654735357900948,0.6666666666666669,-0.01169166263505883,2572000000,
MU,2023,FY,15540000000,16956000000,-1416000000,3114000000,920000000,,,,596000000,-5745000000,388000000,468000000,7000000,-5658000000,177000000,-5833000000,,-5.34,-5.34,0.46,1093000000,1093000000,,,8577000000,,,2048000000,8387000000,21244000000,,1150000000,404000000,64254000000,1725000000,4765000000,278000000,,12049000000,,,20134000000,44120000000,1559000000,7676000000,-6191000000,4983000000,425000000,7756000000,504000000,,6716000000,,-1416000000,-0.09111969111969112,-0.3696911196911197,-0.37535392535392537,-0.03128313891834571,0.20038610038610039,0.03835263835263835,0.49395109395109393,-6117000000,-0.39362934362934365,16479000000,12327000000,3750000000,42566000000,,180.5411063930172,48.1029601029601,-0.13220761559383498,-0.09078034052354718,-0.12376690271748267,,,,0,
MU,2024,FY,25111000000,19498000000,5613000000,3430000000,1129000000,,,,833000000,1304000000,562000000,529000000,-31000000,1240000000,451000000,778000000,,0.7,0.7,0.46,1105000000,1118000000,,,7041000000,,,5419000000,8875000000,24372000000,,1150000000,416000000,69416000000,2726000000,9248000000,431000000,,11343000000,766000000,,24285000000,45131000000,8507000000,8386000000,-8309000000,-1842000000,300000000,7780000000,513000000,,999000000,,5613000000,0.22352753773246783,0.05192943331607662,0.03098243797538927,0.36370967741935484,0.13659352475010952,0.03317271315359802,0.33395722989924737,121000000,0.004818605392059257,15124000000,11774000000,4733000000,43565000000,,166.13883475228226,78.76767153836964,0.017238705102922604,0.011207790711075256,0.016639711628532835,0.615894465894466,-1.1310861423220975,0.02287282708142735,766000000,
MU,2025,FY,37378000000,22505000000,14873000000,3798000000,1205000000,,,,972000000,9770000000,477000000,496000000,-135000000,9654000000,1124000000,8539000000,,7.65,7.59,0.46,1116000000,1125000000,,,9642000000,,,7163000000,8355000000,28841000000,,1150000000,453000000,82798000000,3132000000,11454000000,560000000,,11533000000,26000000,,28633000000,54165000000,17525000000,15857000000,-14087000000,-850000000,0,8352000000,522000000,,4430000000,,14873000000,0.39790786023864305,0.2613837016426775,0.22844989030980792,0.1164284234514191,0.10161057306436941,0.02600460163732677,0.4242335063406282,1668000000,0.04462518058751137,17387000000,12093000000,2451000000,52562000000,,135.5065540990891,69.94742896891219,0.1576479276285424,0.1031305103988019,0.1524744648664624,0.48851101111066864,9.842857142857143,0.0062611806797854275,26000000,
SNDK,2023,FY,6086000000,5656000000,430000000,1167000000,558000000,,,2465000000,165000000,-2035000000,31000000,21000000,33000000,-2002000000,141000000,-2143000000,,-14.78,-14.78,,145000000,145000000,,,,,,,,,,,,,,,,,,,,,11439000000,-713000000,219000000,-189000000,860000000,,448000000,,,0,0,430000000,0.07065395990798554,-0.33437397305290834,-0.3521196187972396,-0.07042957042957043,0.19175156095957938,0.027111403220506078,0.035984226092671705,-932000000,-0.15313835031219192,,,,11439000000,,,,-0.18734155083486317,,,,,,0,
SNDK,2024,FY,6663000000,5591000000,1072000000,1061000000,455000000,,,1540000000,149000000,-468000000,40000000,12000000,-35000000,-503000000,169000000,-672000000,,-4.63,-4.63,,145000000,145000000,,,328000000,,,935000000,1955000000,3548000000,791000000,7207000000,,13506000000,,2123000000,0,,0,,,2424000000,11082000000,-309000000,166000000,210000000,136000000,,224000000,,,0,0,1072000000,0.16088848866876782,-0.07023863124718595,-0.10085547050877983,-0.3359840954274354,0.15923758066936816,0.022362299264595528,0.024913702536395018,-475000000,-0.07128920906498575,1425000000,0,-328000000,3875000000,,127.6292255410481,51.21942068137475,-0.06063887384948565,-0.04975566414926699,-0.05814027865538774,0.09480775550443642,-0.6867388362652233,0.0,0,
SNDK,2025,FY,7355000000,5143000000,2212000000,1132000000,573000000,,,3589000000,182000000,-1377000000,63000000,22000000,-102000000,-1479000000,162000000,-1641000000,,-11.32,-11.32,,145000000,145000000,,,1481000000,,,1068000000,2079000000,5086000000,619000000,4999000000,,12985000000,,1427000000,20000000,,1829000000,25000000,0,3769000000,9216000000,84000000,204000000,556000000,518000000,,163000000,,,1970000000,100000000,2212000000,0.3007477906186268,-0.18721957851801496,-0.22311352821210062,-0.10953346855983773,0.1539089055064582,0.024745071380013597,0.027736233854520734,-120000000,-0.016315431679129844,3659000000,1849000000,368000000,4217000000,,147.5471514680148,53.0006798096533,-0.17805989583333334,-0.12637658837119753,-0.1594143975591503,0.10385712141677923,1.4449244060475164,0.0,25000000,
AVGO,2023,FY,35819000000,11129000000,24690000000,5253000000,1592000000,,,8483000000,2171000000,16207000000,1622000000,535000000,512000000,15097000000,1015000000,14082000000,14082000000,33.93,32.98,18.4,415000000,427000000,,20300000000,14189000000,,,3154000000,1898000000,20847000000,2154000000,43653000000,3867000000,72861000000,1210000000,7405000000,1563000000,,37621000000,2487000000,299000000,48873000000,23988000000,18085000000,452000000,-689000000,-15623000000,5824000000,502000000,7645000000,53000000,0,403000000,24690000000,0.6892989754041151,0.452469359836958,0.39314330383316115,0.06723190037755845,0.14665401044138585,0.06061029062787906,0.012619001088807615,17633000000,0.49228063318350596,13442000000,39184000000,24995000000,-23532000000,,62.24907898283763,32.13964655629694,0.5870435217608805,0.1932721208877177,0.3086248819096607,,,,2786000000,
